gene_ID,pathway_count
hsa:1437,16
hsa:7474,16
hsa:330,16
hsa:3565,16
hsa:5590,16
hsa:7473,16
hsa:7471,16
hsa:2906,15
hsa:2247,15
hsa:219,15
hsa:3101,15
hsa:2905,15
hsa:3066,15
hsa:291,15
hsa:292,15
hsa:929,15
hsa:6262,15
hsa:11211,15
hsa:293,15
hsa:2891,15
hsa:7249,15
hsa:3099,15
hsa:3098,15
hsa:3065,15
hsa:224,15
hsa:2535,15
hsa:80201,15
hsa:5906,15
hsa:2002,15
hsa:7855,15
hsa:6667,15
hsa:1855,15
hsa:1856,15
hsa:1857,15
hsa:1978,15
hsa:80326,15
hsa:83447,15
hsa:3718,15
hsa:7480,15
hsa:8326,15
hsa:7483,15
hsa:7475,15
hsa:3320,15
hsa:3326,15
hsa:8321,15
hsa:183,15
hsa:8322,15
hsa:774,15
hsa:8323,15
hsa:7479,15
hsa:7476,15
hsa:8324,15
hsa:217,15
hsa:7484,15
hsa:8660,15
hsa:7477,15
hsa:8325,15
hsa:7478,15
hsa:834,15
hsa:7472,15
hsa:7482,15
hsa:3674,15
hsa:7481,15
hsa:1536,15
hsa:2645,15
hsa:3673,14
hsa:4129,14
hsa:4128,14
hsa:487,14
hsa:7409,14
hsa:1965,14
hsa:5908,14
hsa:5294,14
hsa:10451,14
hsa:8313,14
hsa:489,14
hsa:959,14
hsa:472,14
hsa:2920,14
hsa:7410,14
hsa:2921,14
hsa:7039,14
hsa:6392,14
hsa:6009,14
hsa:2890,14
hsa:488,14
hsa:6389,14
hsa:6237,14
hsa:2919,14
hsa:10379,14
hsa:8312,14
hsa:3676,14
hsa:501,14
hsa:5519,14
hsa:5518,14
hsa:2534,14
hsa:9451,14
hsa:6390,14
hsa:6391,14
hsa:9021,14
hsa:374291,13
hsa:341947,13
hsa:1345,13
hsa:9020,13
hsa:2261,13
hsa:3665,13
hsa:331,13
hsa:1346,13
hsa:1347,13
hsa:56901,13
hsa:3091,13
hsa:170712,13
hsa:2263,13
hsa:10975,13
hsa:1340,13
hsa:6257,13
hsa:100532726,13
hsa:1339,13
hsa:1337,13
hsa:5211,13
hsa:5213,13
hsa:5214,13
hsa:56034,13
hsa:4512,13
hsa:4513,13
hsa:4514,13
hsa:6258,13
hsa:84701,13
hsa:1329,13
hsa:9978,13
hsa:4519,13
hsa:1349,13
hsa:2911,13
hsa:1327,13
hsa:9377,13
hsa:3567,13
hsa:5829,13
hsa:3554,13
hsa:1350,13
hsa:5581,13
hsa:4842,13
hsa:1351,13
hsa:55967,13
hsa:10941,13
hsa:4716,13
hsa:7367,13
hsa:4706,13
hsa:4707,13
hsa:4708,13
hsa:4709,13
hsa:4710,13
hsa:4711,13
hsa:4712,13
hsa:4713,13
hsa:4714,13
hsa:54659,13
hsa:54658,13
hsa:54657,13
hsa:54600,13
hsa:4715,13
hsa:440567,13
hsa:54578,13
hsa:54577,13
hsa:54576,13
hsa:4705,13
hsa:4704,13
hsa:4702,13
hsa:4696,13
hsa:29796,13
hsa:7365,13
hsa:7364,13
hsa:4694,13
hsa:7363,13
hsa:814,13
hsa:10720,13
hsa:4695,13
hsa:4697,13
hsa:4701,13
hsa:9167,13
hsa:7366,13
hsa:51079,13
hsa:5106,13
hsa:1537,13
hsa:4698,13
hsa:4700,13
hsa:5105,13
hsa:54575,13
hsa:54579,13
hsa:4722,13
hsa:126328,13
hsa:80310,13
hsa:4729,13
hsa:4723,13
hsa:7384,13
hsa:223,13
hsa:4724,13
hsa:4717,13
hsa:7388,13
hsa:7385,13
hsa:4725,13
hsa:4726,13
hsa:27089,13
hsa:2892,13
hsa:7386,13
hsa:4728,13
hsa:574537,13
hsa:7188,13
hsa:79799,13
hsa:4719,13
hsa:3655,13
hsa:54539,13
hsa:4731,13
hsa:125965,13
hsa:4720,13
hsa:7381,13
hsa:7248,13
hsa:4718,13
hsa:54490,13
hsa:3306,12
hsa:10376,12
hsa:2212,12
hsa:39,12
hsa:9114,12
hsa:3305,12
hsa:112714,12
hsa:7852,12
hsa:942,12
hsa:29108,12
hsa:3312,12
hsa:113457,12
hsa:1435,12
hsa:3683,12
hsa:5610,12
hsa:221357,12
hsa:4259,12
hsa:3304,12
hsa:51,12
hsa:7057,12
hsa:284217,12
hsa:4258,12
hsa:4257,12
hsa:940,12
